cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,292.404,291.928,291.297,290.704,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,292.319,291.843,291.141,289.635,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,292.371,291.874,291.305,290.086,0.000,287.334,99726.750,288.337,100089.879,
2004-06-01 00:20:00,292.409,291.920,291.470,290.558,0.000,287.334,99724.389,288.421,100089.815,
2004-06-01 00:25:00,292.385,291.898,291.367,290.538,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,292.378,291.893,291.277,290.597,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,292.340,291.858,291.158,290.505,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,292.332,291.852,291.063,290.557,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,292.304,291.827,290.966,290.520,0.000,287.333,99712.583,288.561,100089.605,
2004-06-01 00:50:00,292.298,291.823,290.887,290.596,0.000,287.333,99710.222,288.617,100089.534,
2004-06-01 00:55:00,292.276,291.803,290.792,290.586,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,292.279,291.808,290.739,290.676,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,292.258,291.790,290.669,290.619,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,292.241,291.775,290.602,290.584,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,292.197,291.735,290.513,290.409,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,292.178,291.718,290.445,290.368,0.000,287.369,99699.222,288.513,100089.652,
2004-06-01 01:25:00,292.142,291.686,290.370,290.255,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,292.126,291.672,290.309,290.250,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,292.092,291.642,290.235,290.149,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,292.077,291.629,290.175,290.147,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,292.044,291.600,290.105,290.048,0.000,287.414,99691.375,288.271,100089.945,
2004-06-01 01:50:00,292.030,291.588,290.048,290.053,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,291.999,291.560,289.978,289.959,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,291.990,291.554,289.946,289.971,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,291.968,291.536,289.911,289.899,0.000,287.444,99685.875,288.152,100090.082,
2004-06-01 02:10:00,291.967,291.537,289.889,289.953,0.000,287.446,99685.083,288.163,100090.072,
2004-06-01 02:15:00,291.952,291.524,289.856,289.902,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,291.953,291.527,289.835,289.955,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,291.937,291.515,289.815,289.889,0.000,287.453,99682.708,288.173,100090.055,
2004-06-01 02:30:00,291.940,291.520,289.808,289.936,0.000,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,291.925,291.508,289.787,289.869,0.000,287.457,99681.125,288.177,100090.046,
2004-06-01 02:40:00,291.930,291.515,289.781,289.919,0.000,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,291.917,291.505,289.771,289.853,0.000,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,291.923,291.514,289.776,289.905,0.000,287.464,99678.750,288.189,100090.030,
2004-06-01 02:55:00,291.911,291.505,289.766,289.838,0.000,287.466,99677.958,288.186,100090.028,
2004-06-01 03:00:00,291.911,291.506,289.748,289.892,0.000,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,291.892,291.490,289.722,289.836,0.000,287.468,99678.042,288.209,100089.991,
2004-06-01 03:10:00,291.896,291.496,289.714,289.918,0.000,287.467,99678.917,288.244,100089.950,
2004-06-01 03:15:00,291.879,291.482,289.690,289.878,0.000,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,291.884,291.487,289.681,289.961,0.000,287.465,99680.667,288.307,100089.871,
