cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,299.873,299.873,298.230,290.704,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,299.575,299.575,295.590,289.634,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,299.041,299.041,292.222,290.086,0.000,287.334,99726.750,288.337,100089.879,
2004-06-01 00:20:00,298.563,298.563,290.410,290.558,0.000,287.334,99724.389,288.421,100089.815,
2004-06-01 00:25:00,298.200,298.200,289.358,290.538,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,297.935,297.935,288.672,290.597,0.000,287.334,99719.667,288.473,100089.741,
2004-06-01 00:35:00,297.717,297.717,288.159,290.505,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,297.534,297.534,287.724,290.557,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,297.372,297.372,287.333,290.521,0.000,287.333,99712.583,288.561,100089.605,
2004-06-01 00:50:00,297.232,297.232,286.974,290.596,0.000,287.333,99710.222,288.617,100089.534,
2004-06-01 00:55:00,297.106,297.106,286.646,290.586,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,296.994,296.994,286.344,290.676,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,296.893,296.893,286.064,290.619,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,296.804,296.804,285.828,290.584,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,296.719,296.719,285.642,290.410,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,296.637,296.637,285.503,290.368,0.000,287.369,99699.222,288.513,100089.652,
2004-06-01 01:25:00,296.552,296.552,285.409,290.255,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,296.470,296.470,285.351,290.250,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,296.391,296.391,285.327,290.149,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,296.316,296.316,285.331,290.147,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,296.244,296.244,285.358,290.049,0.000,287.414,99691.375,288.271,100089.945,
2004-06-01 01:50:00,296.176,296.176,285.406,290.053,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,296.109,296.109,285.471,289.959,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,296.047,296.047,285.551,289.971,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,295.986,295.986,285.644,289.900,0.000,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,295.926,295.926,285.724,289.953,0.000,287.446,99685.083,288.163,100090.072,
