cur_datetime,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,0.000,287.334,99724.389,288.421,100089.814,
2004-06-01 00:25:00,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,0.000,287.333,99710.222,288.617,100089.533,
2004-06-01 00:55:00,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,0.000,287.369,99699.222,288.514,100089.652,
2004-06-01 01:25:00,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,0.000,287.414,99691.375,288.271,100089.944,
2004-06-01 01:50:00,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,0.000,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,0.000,287.446,99685.083,288.163,100090.072,
2004-06-01 02:15:00,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,0.000,287.453,99682.708,288.173,100090.055,
2004-06-01 02:30:00,0.000,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,0.000,287.457,99681.125,288.177,100090.046,
2004-06-01 02:40:00,0.004,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,0.013,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,0.014,287.464,99678.750,288.189,100090.029,
2004-06-01 02:55:00,0.022,287.466,99677.958,288.186,100090.027,
2004-06-01 03:00:00,0.021,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,0.034,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,0.030,287.467,99678.917,288.245,100089.950,
2004-06-01 03:15:00,0.042,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,0.038,287.465,99680.667,288.307,100089.871,
2004-06-01 03:25:00,0.051,287.464,99681.542,288.332,100089.834,
2004-06-01 03:30:00,0.046,287.463,99682.417,288.368,100089.792,
2004-06-01 03:35:00,0.059,287.462,99683.292,288.393,100089.754,
2004-06-01 03:40:00,0.054,287.462,99684.167,288.430,100089.710,
2004-06-01 03:45:00,0.066,287.461,99685.042,288.457,100089.670,
2004-06-01 03:50:00,0.060,287.460,99685.917,288.495,100089.625,
2004-06-01 03:55:00,0.072,287.459,99686.792,288.523,100089.584,
2004-06-01 04:00:00,0.050,287.458,99687.667,288.563,100089.537,
2004-06-01 04:05:00,0.056,287.467,99687.667,288.510,100089.620,
