cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,295.277,65.672,287.334,99733.833,292.966,100086.325,
2004-06-01 00:05:00,290.311,4.619,287.334,99731.472,288.224,100090.333,
2004-06-01 00:10:00,289.074,0.479,287.334,99729.111,287.709,100090.621,
2004-06-01 00:15:00,289.607,0.479,287.334,99726.750,287.770,100090.594,
2004-06-01 00:20:00,290.058,0.479,287.334,99724.389,287.834,100090.561,
2004-06-01 00:25:00,290.058,0.479,287.334,99722.028,287.837,100090.558,
2004-06-01 00:30:00,290.111,0.479,287.334,99719.667,287.835,100090.558,
2004-06-01 00:35:00,289.969,0.479,287.333,99717.306,287.812,100090.569,
2004-06-01 00:40:00,289.986,0.479,287.333,99714.944,287.808,100090.572,
2004-06-01 00:45:00,289.890,0.479,287.333,99712.583,287.797,100090.577,
2004-06-01 00:50:00,289.871,0.479,287.333,99710.222,287.793,100090.579,
2004-06-01 00:55:00,289.887,0.239,287.333,99707.861,287.792,100090.580,
2004-06-01 01:00:00,289.825,0.239,287.333,99705.500,287.785,100090.584,
2004-06-01 01:05:00,289.811,0.239,287.342,99703.931,287.787,100090.576,
2004-06-01 01:10:00,289.745,0.239,287.351,99702.361,287.789,100090.569,
2004-06-01 01:15:00,289.779,0.239,287.360,99700.792,287.797,100090.558,
2004-06-01 01:20:00,289.785,0.239,287.369,99699.222,287.803,100090.548,
2004-06-01 01:25:00,289.698,0.239,287.378,99697.653,287.804,100090.541,
2004-06-01 01:30:00,289.703,0.239,287.387,99696.083,287.809,100090.531,
2004-06-01 01:35:00,289.636,0.239,287.396,99694.514,287.810,100090.524,
2004-06-01 01:40:00,289.654,0.239,287.405,99692.944,287.817,100090.514,
2004-06-01 01:45:00,289.607,0.239,287.414,99691.375,287.820,100090.506,
2004-06-01 01:50:00,289.630,0.239,287.423,99689.806,287.828,100090.495,
2004-06-01 01:55:00,289.571,0.060,287.432,99688.236,287.833,100090.486,
2004-06-01 02:00:00,289.702,0.060,287.441,99686.667,287.847,100090.473,
2004-06-01 02:05:00,289.569,0.060,287.444,99685.875,287.842,100090.473,
2004-06-01 02:10:00,289.628,0.060,287.446,99685.083,287.848,100090.468,
2004-06-01 02:15:00,289.626,0.060,287.448,99684.292,287.845,100090.468,
2004-06-01 02:20:00,289.567,0.060,287.450,99683.500,287.846,100090.466,
2004-06-01 02:25:00,289.654,0.060,287.453,99682.708,287.849,100090.463,
2004-06-01 02:30:00,289.527,0.060,287.455,99681.917,287.844,100090.463,
2004-06-01 02:35:00,289.576,0.060,287.457,99681.125,287.845,100090.461,
2004-06-01 02:40:00,289.485,0.060,287.460,99680.333,287.839,100090.462,
2004-06-01 02:45:00,289.483,0.060,287.462,99679.542,287.841,100090.459,
2004-06-01 02:50:00,289.559,0.060,287.464,99678.750,287.843,100090.457,
2004-06-01 02:55:00,289.419,0.060,287.466,99677.958,287.841,100090.456,
2004-06-01 03:00:00,289.561,0.060,287.469,99677.167,287.850,100090.451,
2004-06-01 03:05:00,289.494,0.060,287.468,99678.042,287.840,100090.456,
2004-06-01 03:10:00,289.472,0.060,287.467,99678.917,287.838,100090.457,
2004-06-01 03:15:00,289.375,0.060,287.466,99679.792,287.832,100090.461,
2004-06-01 03:20:00,289.476,0.060,287.465,99680.667,287.835,100090.460,
2004-06-01 03:25:00,289.442,0.060,287.464,99681.542,287.826,100090.465,
2004-06-01 03:30:00,289.385,0.060,287.463,99682.417,287.823,100090.467,
2004-06-01 03:35:00,289.339,0.060,287.462,99683.292,287.814,100090.472,
2004-06-01 03:40:00,289.301,0.060,287.462,99684.167,287.809,100090.475,
2004-06-01 03:45:00,289.267,0.060,287.461,99685.042,287.801,100090.479,
2004-06-01 03:50:00,289.249,0.060,287.460,99685.917,287.798,100090.482,
2004-06-01 03:55:00,289.218,0.239,287.459,99686.792,287.791,100090.485,
2004-06-01 04:00:00,289.211,0.239,287.458,99687.667,287.789,100090.487,
2004-06-01 04:05:00,289.182,0.239,287.467,99687.667,287.790,100090.481,
2004-06-01 04:10:00,289.189,0.239,287.476,99687.667,287.797,100090.470,
2004-06-01 04:15:00,289.162,0.239,287.486,99687.667,287.802,100090.461,
2004-06-01 04:20:00,289.174,0.239,287.495,99687.667,287.811,100090.449,
