cur_datetime,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1],PresProf_cur[1],TempProf_cur[0],PresProf_cur[0],
2004-06-01 00:05:00,10.347,287.334,99731.472,292.117,292.275,100302.152,100313.886,
2004-06-01 00:10:00,0.479,287.334,99729.111,290.643,290.833,100303.126,100314.920,
2004-06-01 00:15:00,0.479,287.334,99726.750,291.310,291.547,100302.863,100314.628,
2004-06-01 00:20:00,3.941,287.334,99724.389,291.979,292.220,100302.535,100314.273,
2004-06-01 00:25:00,3.109,287.334,99722.028,291.874,292.074,100302.478,100314.221,
2004-06-01 00:30:00,2.969,287.334,99719.667,291.964,292.179,100302.403,100314.143,
2004-06-01 00:35:00,1.169,287.333,99717.306,291.795,291.991,100302.415,100314.162,
2004-06-01 00:40:00,0.947,287.333,99714.944,291.859,292.067,100302.340,100314.084,
2004-06-01 00:45:00,0.479,287.333,99712.583,291.761,291.952,100302.297,100314.045,
2004-06-01 00:50:00,0.479,287.333,99710.222,291.855,292.056,100302.179,100313.923,
2004-06-01 00:55:00,0.239,287.333,99707.861,291.795,291.978,100302.092,100313.838,
2004-06-01 01:00:00,0.239,287.333,99705.500,291.900,292.093,100301.936,100313.678,
2004-06-01 01:05:00,0.239,287.342,99703.931,291.803,291.979,100302.021,100313.768,
2004-06-01 01:10:00,0.239,287.351,99702.361,291.804,291.994,100302.136,100313.882,
2004-06-01 01:15:00,0.239,287.360,99700.792,291.579,291.754,100302.327,100314.082,
2004-06-01 01:20:00,0.239,287.369,99699.222,291.568,291.760,100302.436,100314.192,
2004-06-01 01:25:00,0.239,287.378,99697.653,291.411,291.587,100302.572,100314.334,
2004-06-01 01:30:00,0.239,287.387,99696.083,291.441,291.632,100302.647,100314.407,
2004-06-01 01:35:00,0.239,287.396,99694.514,291.296,291.471,100302.765,100314.533,
2004-06-01 01:40:00,0.239,287.405,99692.944,291.329,291.519,100302.832,100314.597,
2004-06-01 01:45:00,0.239,287.414,99691.375,291.187,291.360,100302.942,100314.714,
2004-06-01 01:50:00,0.239,287.423,99689.806,291.228,291.417,100302.999,100314.769,
2004-06-01 01:55:00,0.060,287.432,99688.236,291.090,291.262,100303.100,100314.875,
2004-06-01 02:00:00,0.060,287.441,99686.667,291.139,291.327,100303.147,100314.920,
