cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19]
2004-06-01 00:05:00,293.215,291.952,291.297,290.705,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,293.129,291.862,291.140,289.633,0.000,287.334,99729.111,288.271,100089.919,
2004-06-01 00:15:00,293.162,291.906,291.304,290.086,0.000,287.334,99726.750,288.337,100089.879,
2004-06-01 00:20:00,293.196,291.949,291.469,290.556,0.000,287.334,99724.389,288.421,100089.815,
2004-06-01 00:25:00,293.168,291.929,291.367,290.538,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,293.156,291.924,291.277,290.596,0.000,287.334,99719.667,288.473,100089.742,
2004-06-01 00:35:00,293.115,291.890,291.157,290.505,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,293.103,291.884,291.063,290.557,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,293.073,291.860,290.966,290.521,0.000,287.333,99712.583,288.561,100089.605,
2004-06-01 00:50:00,293.064,291.856,290.886,290.595,0.000,287.333,99710.222,288.617,100089.534,
2004-06-01 00:55:00,293.040,291.837,290.791,290.586,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,293.040,291.843,290.739,290.675,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,293.015,291.824,290.668,290.619,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,292.995,291.810,290.601,290.584,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,292.948,291.770,290.513,290.410,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,292.926,291.754,290.445,290.367,0.000,287.369,99699.222,288.513,100089.652,
2004-06-01 01:25:00,292.887,291.722,290.369,290.255,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,292.868,291.708,290.309,290.250,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,292.833,291.679,290.235,290.149,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,292.814,291.665,290.174,290.146,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,292.780,291.637,290.104,290.049,0.000,287.414,99691.375,288.271,100089.945,
2004-06-01 01:50:00,292.763,291.625,290.047,290.052,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,292.731,291.598,289.978,289.960,0.000,287.432,99688.236,288.194,100090.039,
2004-06-01 02:00:00,292.718,291.591,289.946,289.970,0.000,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,292.693,291.573,289.910,289.900,0.000,287.444,99685.875,288.152,100090.082,
2004-06-01 02:10:00,292.688,291.574,289.889,289.953,0.000,287.446,99685.083,288.162,100090.072,
2004-06-01 02:15:00,292.669,291.562,289.856,289.903,0.000,287.448,99684.292,288.165,100090.066,
2004-06-01 02:20:00,292.667,291.565,289.835,289.954,0.000,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,292.647,291.553,289.814,289.890,0.000,287.453,99682.708,288.173,100090.055,
