cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19]
2004-06-01 00:05:00,293.961,292.384,291.835,290.705,0.000,287.334,99731.472,288.680,100089.700,
2004-06-01 00:10:00,293.872,292.294,291.673,289.637,0.000,287.334,99729.111,288.272,100089.919,
2004-06-01 00:15:00,293.903,292.336,291.828,290.090,0.000,287.334,99726.750,288.337,100089.878,
2004-06-01 00:20:00,293.935,292.380,291.985,290.563,0.000,287.334,99724.389,288.422,100089.814,
2004-06-01 00:25:00,293.904,292.359,291.877,290.542,0.000,287.334,99722.028,288.447,100089.782,
2004-06-01 00:30:00,293.890,292.353,291.782,290.600,0.000,287.334,99719.667,288.474,100089.741,
2004-06-01 00:35:00,293.847,292.319,291.658,290.508,0.000,287.333,99717.306,288.488,100089.709,
2004-06-01 00:40:00,293.834,292.313,291.558,290.560,0.000,287.333,99714.944,288.526,100089.657,
2004-06-01 00:45:00,293.802,292.289,291.458,290.524,0.000,287.333,99712.583,288.562,100089.605,
2004-06-01 00:50:00,293.792,292.286,291.375,290.598,0.000,287.333,99710.222,288.618,100089.533,
2004-06-01 00:55:00,293.767,292.268,291.276,290.589,0.000,287.333,99707.861,288.671,100089.460,
2004-06-01 01:00:00,293.765,292.273,291.218,290.678,0.000,287.333,99705.500,288.746,100089.363,
2004-06-01 01:05:00,293.739,292.255,291.144,290.621,0.000,287.342,99703.931,288.719,100089.419,
2004-06-01 01:10:00,293.717,292.240,291.073,290.586,0.000,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,293.668,292.200,290.982,290.412,0.000,287.360,99700.792,288.573,100089.582,
2004-06-01 01:20:00,293.644,292.184,290.910,290.370,0.000,287.369,99699.222,288.514,100089.652,
2004-06-01 01:25:00,293.605,292.152,290.832,290.257,0.000,287.378,99697.653,288.454,100089.721,
2004-06-01 01:30:00,293.584,292.138,290.768,290.252,0.000,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,293.547,292.109,290.692,290.151,0.000,287.396,99694.514,288.358,100089.839,
2004-06-01 01:40:00,293.527,292.096,290.628,290.149,0.000,287.405,99692.944,288.318,100089.890,
2004-06-01 01:45:00,293.492,292.067,290.557,290.051,0.000,287.414,99691.375,288.271,100089.944,
2004-06-01 01:50:00,293.474,292.055,290.497,290.054,0.000,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,293.440,292.028,290.426,289.961,0.000,287.432,99688.236,288.194,100090.039,
